Drop,Horizontal_Break,Induced_Vertical_Break,Pitch_Type,Pitch_Vel,In_Play,Spin,sword_num,batters::k_percent,batters::bb_percent,batters::woba,batters::xwoba,batters::sweet_spot_percent,batters::barrel_batted_rate,batters::hard_hit_percent,batters::avg_best_speed,batters::avg_hyper_speed,batters::whiff_percent,batters::swing_percent
54,11,-13,Curveball,81.3,0,2935,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
14,8,17,4-Seam Fastball,93.2,0,2713,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
39,18,1,Sweeper,83.0,0,3107,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
32,14,5,Changeup,86.7,0,1779,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
14,8,17,4-Seam Fastball,93.1,0,2649,0,24.6,9.4,.345,.333,28.9,7.2,51,103.443621443,96.519125907,26.6,47.5
24,16,8,Sinker,92.8,1,2590,0,,,,,,,,,,,
30,18,3,Sinker,91.9,0,2551,0,,,,,,,,,,,
14,8,18,4-Seam Fastball,92.6,1,2482,0,23.2,5.2,.313,.341,36.9,10.8,45.3,101.337435149,94.95967995,26.2,51.4
20,15,12,Sinker,92.4,0,1982,0,,,,,,,,,,,
12,5,20,4-Seam Fastball,92.6,0,2208,0,,,,,,,,,,,
30,6,6,Cutter,88.0,0,2394,0,,,,,,,,,,,
20,15,12,Sinker,93.1,0,2080,0,,,,,,,,,,,
33,5,3,Cutter,86.8,0,2387,0,,,,,,,,,,,
21,15,11,Sinker,92.3,0,2031,0,,,,,,,,,,,
27,5,7,Cutter,88.9,1,2358,0,,,,,,,,,,,
30,7,11,Splitter,82.1,0,958,0,,,,,,,,,,,
33,12,8,Splitter,82.7,0,1042,0,,,,,,,,,,,
14,7,17,4-Seam Fastball,94.9,0,2288,0,,,,,,,,,,,
30,12,11,Splitter,82.2,0,1025,0,,,,,,,,,,,
34,8,6,Splitter,82.5,0,1008,0,,,,,,,,,,,
14,6,17,4-Seam Fastball,94.5,0,2222,0,,,,,,,,,,,
18,14,12,Sinker,95.0,0,2205,0,,,,,,,,,,,
31,3,5,Cutter,86.5,0,2444,0,,,,,,,,,,,
20,15,13,Sinker,91.1,0,2034,0,,,,,,,,,,,
33,3,4,Cutter,86.2,0,2381,0,,,,,,,,,,,
32,3,5,Cutter,85.6,0,2410,0,,,,,,,,,,,
14,10,16,4-Seam Fastball,94.8,0,2645,0,,,,,,,,,,,
27,16,5,Sinker,93.0,0,2444,0,,,,,,,,,,,
17,10,15,4-Seam Fastball,93.0,0,2511,0,,,,,,,,,,,
16,7,16,4-Seam Fastball,93.3,1,2601,0,,,,,,,,,,,
56,14,-12,Curveball,80.2,1,2902,0,,,,,,,,,,,
61,15,-17,Curveball,79.4,0,3013,0,,,,,,,,,,,
17,7,15,4-Seam Fastball,92.7,0,2590,0,,,,,,,,,,,
53,9,-10,Curveball,80.2,0,2765,0,,,,,,,,,,,
35,11,3,Changeup,85.5,1,1765,0,,,,,,,,,,,
